scalar,RGB_r,RGB_g,RGB_b
0.0,1,0,4
0.00392156862745098,1,0,5
0.00784313725490196,1,0,6
0.011764705882352941,2,1,8
0.01568627450980392,2,1,10
0.0196078431372549,3,1,12
0.023529411764705882,4,2,14
0.027450980392156862,4,2,16
0.03137254901960784,5,3,18
0.03529411764705882,6,3,21
0.0392156862745098,7,3,23
0.043137254901960784,8,4,25
0.047058823529411764,10,4,27
0.050980392156862744,11,5,29
0.054901960784313725,12,5,32
0.058823529411764705,14,6,34
0.06274509803921569,15,6,36
0.06666666666666667,17,7,38
0.07058823529411765,18,7,41
0.07450980392156863,19,8,43
0.0784313725490196,21,8,45
0.08235294117647059,22,8,48
0.08627450980392157,24,9,50
0.09019607843137255,25,9,53
0.09411764705882353,27,9,55
0.09803921568627451,28,9,58
0.10196078431372549,30,9,60
0.10588235294117647,32,9,62
0.10980392156862745,33,9,65
0.11372549019607843,35,9,67
0.11764705882352941,37,9,70
0.12156862745098039,39,9,72
0.12549019607843137,40,9,74
0.12941176470588234,42,8,77
0.13333333333333333,44,8,79
0.13725490196078433,46,7,81
0.1411764705882353,47,7,83
0.14509803921568626,49,6,85
0.14901960784313725,51,6,87
0.15294117647058825,53,5,89
0.1568627450980392,55,5,91
0.16078431372549018,56,4,93
0.16470588235294117,58,4,94
0.16862745098039217,60,3,96
0.17254901960784313,61,3,97
0.1764705882352941,63,3,98
0.1803921568627451,65,2,99
0.1843137254901961,66,2,100
0.18823529411764706,68,2,102
0.19215686274509802,70,2,102
0.19607843137254902,71,2,103
0.2,73,2,104
0.20392156862745098,74,2,105
0.20784313725490194,76,3,106
0.21176470588235294,77,3,106
0.21568627450980393,79,3,107
0.2196078431372549,80,3,107
0.22352941176470587,82,4,108
0.22745098039215686,83,4,108
0.23137254901960785,85,5,109
0.23529411764705882,86,6,109
0.2392156862745098,88,6,109
0.24313725490196078,89,7,110
0.24705882352941178,91,7,110
0.25098039215686274,92,8,110
0.2549019607843137,94,9,110
0.2588235294117647,95,10,110
0.2627450980392157,97,11,111
0.26666666666666666,98,11,111
0.27058823529411763,99,12,111
0.27450980392156865,101,13,111
0.2784313725490196,102,14,111
0.2823529411764706,104,15,111
0.28627450980392155,105,15,111
0.2901960784313725,107,16,111
0.29411764705882354,108,17,111
0.2980392156862745,110,18,111
0.30196078431372547,111,18,111
0.3058823529411765,112,19,111
0.30980392156862746,114,20,111
0.3137254901960784,115,20,111
0.3176470588235294,117,21,110
0.32156862745098036,118,22,110
0.3254901960784314,120,23,110
0.32941176470588235,121,23,110
0.3333333333333333,123,24,110
0.33725490196078434,124,25,110
0.3411764705882353,126,25,109
0.34509803921568627,127,26,109
0.34901960784313724,129,27,109
0.3529411764705882,130,27,108
0.3568627450980392,131,28,108
0.3607843137254902,133,29,108
0.36470588235294116,134,29,108
0.3686274509803922,136,30,107
0.37254901960784315,137,30,107
0.3764705882352941,139,31,106
0.3803921568627451,140,32,106
0.38431372549019605,142,32,106
0.38823529411764707,143,33,105
