scalar,RGB_r,RGB_g,RGB_b
0.0,44.0,0.0,0.0
0.00390625,45.0,0.0,0.0
0.0078125,47.0,0.0,0.0
0.01171875,49.0,0.0,0.0
0.015625,50.0,0.0,0.0
0.01953125,52.0,0.0,0.0
0.0234375,53.0,0.0,0.0
0.02734375,55.0,0.0,0.0
0.03125,56.0,0.0,0.0
0.03515625,58.0,0.0,0.0
0.0390625,60.0,0.0,0.0
0.04296875,61.0,0.0,0.0
0.046875,63.0,0.0,0.0
0.05078125,64.0,0.0,0.0
0.0546875,66.0,0.0,0.0
0.05859375,67.0,0.0,0.0
0.0625,69.0,0.0,0.0
0.06640625,70.0,0.0,0.0
0.0703125,72.0,0.0,0.0
0.07421875,73.0,0.0,0.0
0.078125,75.0,0.0,0.0
0.08203125,76.0,0.0,0.0
0.0859375,78.0,0.0,0.0
0.08984375,79.0,0.0,0.0
0.09375,81.0,0.0,0.0
0.09765625,82.0,0.0,0.0
0.1015625,83.0,0.0,0.0
0.10546875,85.0,0.0,0.0
0.109375,86.0,0.0,0.0
0.11328125,88.0,0.0,0.0
0.1171875,89.0,0.0,0.0
0.12109375,91.0,0.0,0.0
0.125,92.0,0.0,0.0
0.12890625,94.0,0.0,0.0
0.1328125,95.0,0.0,0.0
0.13671875,97.0,0.0,0.0
0.140625,98.0,0.0,0.0
0.14453125,99.0,0.0,0.0
0.1484375,101.0,0.0,0.0
0.15234375,102.0,0.0,0.0
0.15625,104.0,0.0,0.0
0.16015625,105.0,0.0,0.0
0.1640625,107.0,0.0,0.0
0.16796875,108.0,0.0,0.0
0.171875,110.0,0.0,0.0
0.17578125,111.0,0.0,0.0
0.1796875,112.0,0.0,0.0
0.18359375,114.0,0.0,0.0
0.1875,115.0,0.0,0.0
0.19140625,117.0,0.0,0.0
0.1953125,118.0,0.0,0.0
0.19921875,120.0,0.0,0.0
0.203125,121.0,0.0,0.0
0.20703125,123.0,0.0,0.0
0.2109375,124.0,0.0,0.0
0.21484375,125.0,0.0,0.0
0.21875,127.0,0.0,0.0
0.22265625,128.0,1.0,0.0
0.2265625,129.0,2.0,0.0
0.23046875,130.0,3.0,0.0
0.234375,132.0,4.0,0.0
0.23828125,133.0,5.0,0.0
0.2421875,134.0,6.0,0.0
0.24609375,135.0,8.0,0.0
0.25,136.0,9.0,0.0
0.25390625,138.0,10.0,0.0
0.2578125,139.0,11.0,0.0
0.26171875,140.0,12.0,0.0
0.265625,141.0,14.0,0.0
0.26953125,142.0,15.0,0.0
0.2734375,143.0,16.0,0.0
0.27734375,145.0,17.0,0.0
0.28125,146.0,18.0,0.0
0.28515625,147.0,19.0,0.0
0.2890625,148.0,21.0,0.0
0.29296875,149.0,22.0,0.0
0.296875,150.0,23.0,0.0
0.30078125,151.0,24.0,0.0
0.3046875,153.0,25.0,0.0
0.30859375,154.0,26.0,0.0
0.3125,155.0,27.0,0.0
0.31640625,156.0,28.0,0.0
0.3203125,157.0,29.0,0.0
0.32421875,158.0,31.0,0.0
0.328125,159.0,32.0,0.0
0.33203125,160.0,33.0,0.0
0.3359375,161.0,34.0,0.0
0.33984375,162.0,35.0,0.0
0.34375,163.0,36.0,0.0
0.34765625,165.0,37.0,0.0
0.3515625,166.0,38.0,0.0
0.35546875,167.0,39.0,0.0
0.359375,168.0,40.0,0.0
0.36328125,169.0,41.0,0.0
0.3671875,170.0,42.0,0.0
0.37109375,171.0,43.0,0.0
